# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (-1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.797000e-01
# lRef        : 3.350000e-01
# Aref        : 1.120000e-02
# CofR        : (3.350000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
180           	4.504829e-01	-1.048181e+01	-7.994916e+00	-3.546975e+00	-4.447941e+00
181           	4.403552e-01	-1.045378e+01	-7.997139e+00	-3.558214e+00	-4.438925e+00
182           	4.302285e-01	-1.042599e+01	-7.999301e+00	-3.569422e+00	-4.429879e+00
183           	4.201450e-01	-1.039843e+01	-8.001351e+00	-3.580530e+00	-4.420820e+00
184           	4.102032e-01	-1.037110e+01	-8.003217e+00	-3.591405e+00	-4.411812e+00
185           	4.002454e-01	-1.034400e+01	-8.005121e+00	-3.602315e+00	-4.402806e+00
186           	3.901825e-01	-1.031712e+01	-8.007181e+00	-3.613408e+00	-4.393773e+00
187           	3.800199e-01	-1.029045e+01	-8.009320e+00	-3.624640e+00	-4.384680e+00
188           	3.697949e-01	-1.026401e+01	-8.011482e+00	-3.635946e+00	-4.375536e+00
189           	3.595464e-01	-1.023778e+01	-8.013625e+00	-3.647266e+00	-4.366359e+00
190           	3.494309e-01	-1.021177e+01	-8.015575e+00	-3.658357e+00	-4.357219e+00
191           	3.394811e-01	-1.018596e+01	-8.017315e+00	-3.669176e+00	-4.348139e+00
192           	3.295681e-01	-1.016035e+01	-8.018984e+00	-3.679924e+00	-4.339060e+00
193           	3.196169e-01	-1.013496e+01	-8.020662e+00	-3.690714e+00	-4.329948e+00
194           	3.096192e-01	-1.010976e+01	-8.022385e+00	-3.701573e+00	-4.320812e+00
195           	2.995843e-01	-1.008476e+01	-8.024128e+00	-3.712480e+00	-4.311648e+00
196           	2.895131e-01	-1.005995e+01	-8.025927e+00	-3.723450e+00	-4.302476e+00
197           	2.795873e-01	-1.003534e+01	-8.027565e+00	-3.734195e+00	-4.293370e+00
198           	2.697108e-01	-1.001092e+01	-8.029160e+00	-3.744869e+00	-4.284291e+00
199           	2.598507e-01	-9.986689e+00	-8.030727e+00	-3.755513e+00	-4.275214e+00
200           	2.499879e-01	-9.962643e+00	-8.032283e+00	-3.766154e+00	-4.266129e+00
201           	2.400475e-01	-9.938780e+00	-8.033903e+00	-3.776904e+00	-4.256999e+00
202           	2.300218e-01	-9.915099e+00	-8.035615e+00	-3.787786e+00	-4.247829e+00
203           	2.200456e-01	-9.891598e+00	-8.037228e+00	-3.798568e+00	-4.238659e+00
204           	2.103000e-01	-9.868273e+00	-8.038517e+00	-3.808958e+00	-4.229558e+00
205           	2.006340e-01	-9.845123e+00	-8.039668e+00	-3.819200e+00	-4.220468e+00
206           	1.909795e-01	-9.822145e+00	-8.040765e+00	-3.829403e+00	-4.211362e+00
207           	1.813071e-01	-9.799338e+00	-8.041883e+00	-3.839634e+00	-4.202248e+00
208           	1.715686e-01	-9.776700e+00	-8.043143e+00	-3.850003e+00	-4.193140e+00
209           	1.617693e-01	-9.754228e+00	-8.044518e+00	-3.860490e+00	-4.184028e+00
210           	1.520413e-01	-9.731921e+00	-8.045828e+00	-3.870873e+00	-4.174955e+00
211           	1.424988e-01	-9.709776e+00	-8.046950e+00	-3.880976e+00	-4.165974e+00
212           	1.329537e-01	-9.687791e+00	-8.048051e+00	-3.891072e+00	-4.156979e+00
213           	1.233754e-01	-9.665965e+00	-8.049160e+00	-3.901205e+00	-4.147956e+00
214           	1.137501e-01	-9.644297e+00	-8.050298e+00	-3.911399e+00	-4.138899e+00
215           	1.040571e-01	-9.622783e+00	-8.051553e+00	-3.921719e+00	-4.129833e+00
216           	9.436369e-02	-9.601423e+00	-8.052805e+00	-3.932039e+00	-4.120766e+00
217           	8.491747e-02	-9.580214e+00	-8.053740e+00	-3.941953e+00	-4.111788e+00
218           	7.563192e-02	-9.559155e+00	-8.054512e+00	-3.951624e+00	-4.102888e+00
219           	6.636125e-02	-9.538243e+00	-8.055235e+00	-3.961256e+00	-4.093979e+00
220           	5.709541e-02	-9.517477e+00	-8.055939e+00	-3.970874e+00	-4.085065e+00
221           	4.780551e-02	-9.496857e+00	-8.056711e+00	-3.980550e+00	-4.076161e+00
222           	3.845157e-02	-9.476378e+00	-8.057631e+00	-3.990364e+00	-4.067267e+00
223           	2.909463e-02	-9.456042e+00	-8.058563e+00	-4.000187e+00	-4.058376e+00
224           	1.998844e-02	-9.435845e+00	-8.059205e+00	-4.009614e+00	-4.049591e+00
225           	1.093095e-02	-9.415786e+00	-8.059799e+00	-4.018969e+00	-4.040830e+00
226           	1.792686e-03	-9.395863e+00	-8.060503e+00	-4.028459e+00	-4.032044e+00
227           	-7.431733e-03	-9.376076e+00	-8.061275e+00	-4.038069e+00	-4.023206e+00
228           	-1.687098e-02	-9.356422e+00	-8.062330e+00	-4.048036e+00	-4.014294e+00
229           	-2.655025e-02	-9.336902e+00	-8.063689e+00	-4.058395e+00	-4.005294e+00
230           	-3.625606e-02	-9.317513e+00	-8.065032e+00	-4.068772e+00	-3.996260e+00
231           	-4.573579e-02	-9.298254e+00	-8.066097e+00	-4.078784e+00	-3.987313e+00
232           	-5.522225e-02	-9.279124e+00	-8.067152e+00	-4.088798e+00	-3.978354e+00
233           	-6.491055e-02	-9.260120e+00	-8.068428e+00	-4.099124e+00	-3.969303e+00
234           	-7.465917e-02	-9.241243e+00	-8.069810e+00	-4.109564e+00	-3.960246e+00
235           	-8.439249e-02	-9.222489e+00	-8.071304e+00	-4.120044e+00	-3.951259e+00
236           	-9.415253e-02	-9.203859e+00	-8.072888e+00	-4.130596e+00	-3.942291e+00
237           	-1.038506e-01	-9.185350e+00	-8.074379e+00	-4.141040e+00	-3.933339e+00
238           	-1.133390e-01	-9.166961e+00	-8.075622e+00	-4.151150e+00	-3.924472e+00
239           	-1.229701e-01	-9.148691e+00	-8.077017e+00	-4.161478e+00	-3.915538e+00
240           	-1.326669e-01	-9.130539e+00	-8.078477e+00	-4.171905e+00	-3.906572e+00
241           	-1.423803e-01	-9.112504e+00	-8.080022e+00	-4.182391e+00	-3.897631e+00
242           	-1.520958e-01	-9.094585e+00	-8.081667e+00	-4.192929e+00	-3.888738e+00
243           	-1.618236e-01	-9.076779e+00	-8.083308e+00	-4.203478e+00	-3.879830e+00
244           	-1.715694e-01	-9.059087e+00	-8.084933e+00	-4.214036e+00	-3.870897e+00
245           	-1.813010e-01	-9.041506e+00	-8.086515e+00	-4.224558e+00	-3.861956e+00
246           	-1.910503e-01	-9.024037e+00	-8.088098e+00	-4.235099e+00	-3.852999e+00
247           	-2.007925e-01	-9.006678e+00	-8.089661e+00	-4.245623e+00	-3.844038e+00
248           	-2.105392e-01	-8.989427e+00	-8.091381e+00	-4.256230e+00	-3.835152e+00
249           	-2.202269e-01	-8.972283e+00	-8.093110e+00	-4.266782e+00	-3.826328e+00
250           	-2.298476e-01	-8.955246e+00	-8.094759e+00	-4.277227e+00	-3.817532e+00
251           	-2.395144e-01	-8.938314e+00	-8.096458e+00	-4.287743e+00	-3.808714e+00
252           	-2.491127e-01	-8.921486e+00	-8.098055e+00	-4.298140e+00	-3.799915e+00
253           	-2.584789e-01	-8.904761e+00	-8.099379e+00	-4.308169e+00	-3.791211e+00
254           	-2.677381e-01	-8.888138e+00	-8.100653e+00	-4.318065e+00	-3.782588e+00
255           	-2.768885e-01	-8.871615e+00	-8.102016e+00	-4.327897e+00	-3.774120e+00
256           	-2.859422e-01	-8.855191e+00	-8.103298e+00	-4.337591e+00	-3.765707e+00
257           	-2.949331e-01	-8.838866e+00	-8.104478e+00	-4.347172e+00	-3.757306e+00
258           	-3.040910e-01	-8.822638e+00	-8.105824e+00	-4.357003e+00	-3.748821e+00
259           	-3.133639e-01	-8.806509e+00	-8.107263e+00	-4.366995e+00	-3.740268e+00
260           	-3.223821e-01	-8.790475e+00	-8.108396e+00	-4.376580e+00	-3.731816e+00
261           	-3.313193e-01	-8.774536e+00	-8.109572e+00	-4.386105e+00	-3.723467e+00
262           	-3.402012e-01	-8.758690e+00	-8.110809e+00	-4.395606e+00	-3.715203e+00
263           	-3.490580e-01	-8.742938e+00	-8.112010e+00	-4.405063e+00	-3.706947e+00
264           	-3.578964e-01	-8.727278e+00	-8.113162e+00	-4.414478e+00	-3.698685e+00
265           	-3.669571e-01	-8.711710e+00	-8.114547e+00	-4.424230e+00	-3.690316e+00
266           	-3.761645e-01	-8.696233e+00	-8.116060e+00	-4.434194e+00	-3.681865e+00
267           	-3.852098e-01	-8.680847e+00	-8.117424e+00	-4.443922e+00	-3.673502e+00
268           	-3.941715e-01	-8.665549e+00	-8.118897e+00	-4.453620e+00	-3.665277e+00
269           	-4.030869e-01	-8.650339e+00	-8.120405e+00	-4.463289e+00	-3.657115e+00
270           	-4.119329e-01	-8.635216e+00	-8.121829e+00	-4.472847e+00	-3.648982e+00
271           	-4.205974e-01	-8.620179e+00	-8.122919e+00	-4.482057e+00	-3.640862e+00
272           	-4.293556e-01	-8.605228e+00	-8.123969e+00	-4.491340e+00	-3.632629e+00
